version_id,quran_value_code,WIS,CRG,HRM,DSC,EMP,LOVE,ACHV,JOY,FREE,SAFE,HLTH,DIGN,JUST,FRND,LEARN,SPIR,FINC,RECO,ADVN,ARTS,FUN,COMM,AMBT,GRAT,BALN
v1,Q_ITQAN,0.30,0.10,0.10,0.50,0.00,,,,,,,,,,,,,,,,,,,,
v1,Q_TAARU,0.20,0.05,0.40,0.10,0.25,,,,,,,,,,,,,,,,,,,,
v1,Q_AMAL,0.25,0.10,0.20,0.20,0.25,,,,,,,,,,,,,,,,,,,,
v1,Q_ADLQ,0.15,0.25,0.10,0.40,0.10,,,,,,,,,,,,,,,,,,,,
v1,Q_SAKI,0.20,0.05,0.55,0.10,0.10,,,,,,,,,,,,,,,,,,,,
v2,Q_TAQWA,,,,,,0.05,0.05,0.04,0.04,0.05,0.04,0.06,0.07,0.04,0.06,0.19,0.03,0.02,0.03,0.02,0.02,0.05,0.06,0.07,0.01
v2,Q_ADL,,,,,,0.04,0.05,0.03,0.04,0.06,0.03,0.08,0.20,0.04,0.05,0.05,0.03,0.02,0.03,0.02,0.02,0.07,0.05,0.04,0.05
v2,Q_RAHMA,,,,,,0.18,0.04,0.05,0.03,0.04,0.04,0.05,0.05,0.09,0.04,0.05,0.02,0.02,0.02,0.03,0.04,0.07,0.04,0.08,0.02
v2,Q_SABR,,,,,,0.05,0.06,0.05,0.04,0.08,0.05,0.06,0.06,0.04,0.05,0.10,0.03,0.02,0.03,0.02,0.02,0.05,0.06,0.06,0.07
v2,Q_SHUKR,,,,,,0.08,0.04,0.10,0.03,0.04,0.04,0.05,0.04,0.06,0.04,0.06,0.02,0.02,0.02,0.03,0.04,0.06,0.04,0.17,0.02
v2,Q_SIDQ,,,,,,0.05,0.05,0.03,0.04,0.05,0.03,0.11,0.09,0.04,0.05,0.08,0.03,0.02,0.03,0.02,0.02,0.05,0.05,0.05,0.11
v2,Q_AMANA,,,,,,0.05,0.06,0.03,0.04,0.10,0.04,0.08,0.07,0.04,0.05,0.07,0.08,0.02,0.03,0.02,0.02,0.05,0.05,0.04,0.06
v2,Q_IHSAN,,,,,,0.06,0.09,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.03,0.04,0.04,0.03,0.03,0.05,0.09,0.05,0.03
v2,Q_HIKMA,,,,,,0.05,0.06,0.04,0.05,0.05,0.04,0.06,0.07,0.04,0.14,0.09,0.03,0.02,0.04,0.03,0.02,0.05,0.07,0.05,0.00
v2,Q_TAWAK,,,,,,0.05,0.06,0.06,0.05,0.07,0.04,0.06,0.06,0.04,0.05,0.14,0.03,0.02,0.03,0.02,0.02,0.05,0.07,0.06,0.02
v2,Q_TAWBA,,,,,,0.06,0.05,0.05,0.04,0.05,0.04,0.07,0.06,0.04,0.06,0.14,0.02,0.02,0.03,0.02,0.02,0.05,0.05,0.08,0.05
v2,Q_TAZKI,,,,,,0.06,0.06,0.05,0.04,0.05,0.05,0.06,0.06,0.04,0.07,0.12,0.02,0.02,0.03,0.02,0.02,0.05,0.06,0.07,0.05
v2,Q_UKHWA,,,,,,0.11,0.05,0.05,0.03,0.04,0.04,0.05,0.05,0.11,0.04,0.05,0.02,0.02,0.02,0.03,0.03,0.13,0.04,0.07,0.02
v2,Q_SILAT,,,,,,0.13,0.04,0.06,0.03,0.05,0.04,0.07,0.06,0.09,0.03,0.05,0.02,0.02,0.02,0.02,0.03,0.09,0.04,0.09,0.02
v2,Q_HURRI,,,,,,0.04,0.06,0.05,0.14,0.05,0.04,0.06,0.06,0.04,0.05,0.07,0.03,0.02,0.07,0.03,0.03,0.05,0.06,0.04,0.01
v2,Q_MIZAN,,,,,,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.07,0.03,0.02,0.03,0.02,0.02,0.05,0.06,0.06,0.11
v2,Q_HAYAA,,,,,,0.07,0.04,0.04,0.04,0.06,0.04,0.11,0.06,0.05,0.04,0.07,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.07,0.12
v2,Q_SALAM,,,,,,0.08,0.04,0.07,0.04,0.08,0.04,0.06,0.07,0.06,0.04,0.07,0.02,0.02,0.02,0.02,0.03,0.10,0.04,0.08,0.02
v2,Q_AFW,,,,,,0.10,0.03,0.06,0.04,0.05,0.03,0.08,0.07,0.06,0.04,0.08,0.02,0.02,0.02,0.02,0.02,0.07,0.03,0.10,0.06
v2,Q_QANA,,,,,,0.07,0.03,0.08,0.04,0.07,0.04,0.06,0.05,0.05,0.03,0.08,0.03,0.02,0.02,0.02,0.02,0.05,0.03,0.12,0.09
v2,Q_IJTIA,,,,,,0.04,0.13,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.05,0.07,0.03,0.02,0.05,0.02,0.02,0.04,0.13,0.04,0.05
v2,Q_ISTIQ,,,,,,0.05,0.07,0.04,0.05,0.07,0.05,0.07,0.07,0.04,0.05,0.09,0.03,0.02,0.03,0.02,0.02,0.05,0.07,0.05,0.06
v2,Q_SHURA,,,,,,0.07,0.05,0.05,0.05,0.05,0.04,0.06,0.07,0.08,0.06,0.07,0.02,0.02,0.03,0.02,0.02,0.11,0.05,0.05,0.03
v2,Q_ADAB,,,,,,0.08,0.04,0.05,0.04,0.06,0.04,0.09,0.06,0.07,0.04,0.07,0.02,0.02,0.02,0.02,0.02,0.07,0.04,0.08,0.07
v2,Q_RIDA,,,,,,0.07,0.03,0.09,0.04,0.06,0.04,0.06,0.05,0.05,0.03,0.10,0.02,0.02,0.02,0.02,0.02,0.05,0.03,0.12,0.08
v2,Q_ITQAN,,,,,,0.04,0.13,0.04,0.04,0.05,0.05,0.06,0.05,0.04,0.05,0.06,0.04,0.03,0.04,0.02,0.02,0.04,0.12,0.04,0.04
v2,Q_TAARU,,,,,,0.08,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.09,0.05,0.06,0.02,0.02,0.03,0.02,0.03,0.13,0.04,0.06,0.05
v2,Q_AMAL,,,,,,0.06,0.06,0.08,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.08,0.02,0.02,0.03,0.02,0.03,0.05,0.06,0.10,0.06
v2,Q_ADLQ,,,,,,0.05,0.05,0.03,0.04,0.06,0.03,0.09,0.20,0.04,0.05,0.05,0.03,0.02,0.03,0.02,0.02,0.07,0.05,0.04,0.03
v2,Q_SAKI,,,,,,0.07,0.04,0.08,0.04,0.07,0.05,0.06,0.05,0.05,0.04,0.12,0.02,0.02,0.02,0.02,0.02,0.05,0.04,0.10,0.04
