version_id,scenario_code,scenario_set_code,order_index,scenario_text_en,scenario_text_ar
v2,D11_25,deep_11,25,You must choose: short intense life or long calm life. What do you pick?,عليك الاختيار: حياة قصيرة مكثفة أم طويلة هادئة. ماذا تختار؟
v2,D11_26,deep_11,26,A thought experiment asks what gives life most value: depth or duration.,تجربة فكرية تسأل: ما الذي يعطي الحياة قيمة أكبر، العمق أم الامتداد؟
v2,D11_27,deep_11,27,You can guarantee either peak meaning or long continuity. Which matters more to you?,يمكنك ضمان ذروة معنى أو استمرارية أطول. أيهما أهم لك؟
v2,D11_28,deep_11,28,A medical technology offers either emotional intensity or lifespan extension. Your choice?,تقنية طبية تعرض إما كثافة شعورية أو إطالة العمر. ما اختيارك؟
v2,D11_29,deep_11,29,"Would you prefer one perfect day repeated forever, or a changing life journey?",هل تفضل يوما مثاليا يتكرر للأبد أم حياة متغيرة تتدفق؟
v2,D11_30,deep_11,30,A simulation can lock you into your ideal day forever. Do you accept?,محاكاة تستطيع تثبيتك في يومك المثالي للأبد. هل تقبل؟
v2,D11_31,deep_11,31,"You may freeze time at your happiest moment, or keep aging naturally. Which do you choose?",يمكنك تجميد الزمن عند أسعد لحظة أو متابعة العمر طبيعيا. ماذا تختار؟
v2,D11_32,deep_11,32,"In a virtual world, perfect repetition is possible, but no new surprises. Your decision?",في عالم افتراضي يمكن تكرار الكمال دون مفاجآت جديدة. ما قرارك؟
v2,D11_33,deep_11,33,"After 20 years, which regret would hurt more: wasted time or missed chances?",بعد 20 سنة، أي ندم سيكون أثقل: هدر الوقت أم ضياع الفرص؟
v2,D11_34,deep_11,34,You review your life and must name your biggest fear of regret. Which is it?,تراجع حياتك ويجب أن تسمي أكبر خوف من الندم. ما هو؟
v2,D11_35,deep_11,35,"A coach asks: what pain is greater for you, stagnation or reckless drift?",مدرب يسألك: أي ألم أكبر لديك، الجمود أم التشتت؟
v2,D11_36,deep_11,36,You write a letter to your future self. What warning do you repeat most?,تكتب رسالة لنفسك المستقبلية. أي تحذير تكرر أكثر؟
v2,D11_37,deep_11,37,You know your exact death date. Would you trade two late years for two ideal youth years now?,تعرف تاريخ وفاتك بدقة. هل تستبدل سنتين من آخر عمرك بسنتين شباب مثاليتين الآن؟
v2,D11_38,deep_11,38,A guaranteed life-timeline deal lets you move years from old age to young adulthood. Do you take it?,صفقة مضمونة تسمح بنقل سنوات من الشيخوخة إلى بدايات الشباب. هل تقبل؟
v2,D11_39,deep_11,39,"A biotech offer: less total years, but stronger early years. What is your call?",عرض تقني: سنوات إجمالية أقل مقابل قوة أكبر في البدايات. ما قرارك؟
v2,D11_40,deep_11,40,You can re-time your life energy but not increase total meaning automatically. What do you choose?,يمكنك إعادة توقيت طاقة حياتك دون زيادة تلقائية في المعنى. ماذا تختار؟
v2,D11_41,deep_11,41,You can know one certain fact about your future success: when or what. Which do you pick?,يمكنك معرفة حقيقة واحدة مؤكدة عن نجاحك المستقبلي: متى أو ماذا. أيهما تختار؟
v2,D11_42,deep_11,42,A prediction system offers either timing certainty or content certainty. Which helps you more?,نظام تنبؤ يمنحك يقين التوقيت أو يقين المحتوى. أيهما يفيدك أكثر؟
v2,D11_43,deep_11,43,You may reveal only one card about your greatest future happiness. Which card?,يمكنك كشف بطاقة واحدة فقط عن أعظم سعادتك القادمة. أي بطاقة؟
v2,D11_44,deep_11,44,"A life analyst asks where you seek control: timeline, meaning, people, or presence?",محلل حياة يسألك: أين تبحث عن السيطرة، في الزمن أم المعنى أم الناس أم الحضور؟
v2,D11_45,deep_11,45,"After 20 years, what sentence would be your sharpest regret?",بعد 20 سنة، ما الجملة التي ستكون أشد ندما؟
v2,D11_46,deep_11,46,"At midlife reflection, what failure hurts more: no joy in the path or no worthy arrival?",عند مراجعة منتصف العمر، أي فشل يؤلم أكثر: بلا متعة في الطريق أم بلا وصول معتبر؟
v2,D11_47,deep_11,47,"Your diary asks one final question: enjoy enough, or achieve enough?",مذكرتك تطرح سؤالا أخيرا: استمتعت بما يكفي أم أنجزت بما يكفي؟
v2,D11_48,deep_11,48,A mentor asks what you fear becoming: a burned-out achiever or a drifting wanderer?,مرشد يسألك: ما الذي تخشى أن تصبحه، منجزا مستنزفا أم متجولا بلا محطة؟
